Region,Sales Channel,Company/Provider,Category,Segment,Volume Sales (Liters),Avg Price Per Liter (VND),Growth Rate (%),Numeric Distribution (%),Weighted Distribution (%),Out-of-Stock Rate (%),Market Share (%),Share of Shelf (%),Trial Rate (%),Repeat Rate (%),Sales Value (USD),Time,Volume Sales
south rural,Traditional Trade,Cora Cale,JUICES,Nectar Bliss,NULL,8821,3,70,75,6.0,20,30,50,40,25727.92,2023-10-01 00:00:00,NULL
south urban,Modern Trade,Tran Hip Pat,Energy Drinks,Numba One Power,150000,,unknown,95,98,3.0,35,45,60,50,53150.0,2024-02-01 00:00:00,150000 liters
south urban,Modern Trade,Sentry Pepso,CARBONATED SOFT DRINKS,Pepso Classic,150000,8864,8,95,98,3.0,35,45,60,50,55400.0,nan,150.0 kiloliters
central rural,Traditional Trade,Vinalac,MILK,Vinalac Sweet,50000,9362,6,65,70,7.0,15,25,40,30,19504.17,2024-10-01 00:00:00,50000 liters
null,Traditional Trade,URZ,JUICES,URZ Fresh,100000,8713,7,80,85,84.0430879756015,25,35,50,40,36304.17,June 2024,100000 liters
south urban,Modern Trade,Cora Cale,Carbonated Soft Drinks,Classic Soda,150000,9339,8,95,98,3.0,35,45,60,50,58368.75,nan,150000 liters
north rural,Traditional Trade,URZ,JUICES,URZ Fresh,100000,8713,unknown,80,85,5.0,25,35,50,40,,nan,100000 liters
CENTRAL URBAN,Modern Trade,Cora Cale,JUICES,Pure Juice,80000,8048,unknown,75,80,6.0,20,30,45,35,26826.67,May 2024,80000 liters
CENTRAL URBAN,Modern Trade,Vinalac,MILK TEA,Vinalac Tea,80000,N/A,4,75,80,6.0,20,30,45,35,28256.67,July 2022,80000 liters
north urban,Modern Trade,URZ,SNACK DRINKS,CeeTwo,120000,9010,5,90,95,4.0,30,40,55,45,45050.0,November 2024,120000 liters
SOUTH RURAL,Traditional Trade,Cora Cale,Juices,Nectar Bliss,70000,8821,3,70,75,6.0,20,30,50,40,25727.92,2025-01-01 00:00:00,70.0 kiloliters
central urban,Modern Trade,Sentry Pepso,Juices,Tropicola,80000,8099,4,75,80,6.0,20,30,45,35,,nan,80000 liters
NORTH RURAL,Traditional Trade,URZ,Juices,URZ Fresh,100000,8713,7,80,85,5.0,25,35,50,40,36304.17,2022-02-01 00:00:00,100000 liters
CENTRAL URBAN,Modern Trade,URZ,WATER,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,33073.33,2020-12-01 00:00:00,80.0 kiloliters
CENTRAL RURAL,Modern Trade,Small Co E,Energy Drinks,Soda Spark,45308,8163,-7,46,45,15.0,3,4,25,16,1492.74,2023-03-01 00:00:00,45.308 kiloliters
NORTH RURAL,Traditional Trade,URZ,JUICES,URZ Fresh,100000,8713,7,80,85,5.0,25,35,50,40,NULL,,100000 liters
central urban,Modern Trade,Tran Hip Pat,Juices,THP Fresh,80000,8438,4,75,80,6.0,20,30,45,35,28126.67,2024-01-01 00:00:00,80000 liters
CENTRAL URBAN,Modern Trade,URZ,WATER,Great Aqua,80000,9922,,75,80,6.0,20,30,45,35,33073.33,2020-09-01 00:00:00,80.0 kiloliters
central rural,Traditional Trade,Vinalac,MILK,Vinalac Sweet,50000,9362,6,65,70,7.0,15,25,40,30,19504.17,2024-06-01 00:00:00,50.0 kiloliters
CENTRAL RURAL,Traditional Trade,Cora Cale,ENERGY DRINKS,Energy Boost,50000,9715,6,65,70,7.0,15,25,40,30,20239.58,February 2020,50000 liters
SOUTH URBAN,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Classic Soda,150000,9339,8,95,98,3.0,35,45,60,50,58368.75,2022-05-01 00:00:00,150000 liters
central rural,Traditional Trade,Vinalac,MILK,Vinalac Sweet,50000,9362,6,65,70,7.0,15,25,40,30,19504.17,2024-04-01 00:00:00,50000 liters
NAN,Modern Trade,Tran Hip Pat,ENERGY DRINKS,Numba One Power,N/A,8504,unknown,95,98,3.0,35,45,60,50,53150.0,2024-08-01 00:00:00,N/A
SOUTH RURAL,Traditional Trade,Tran Hip Pat,Juices,THP Prime,70000,8031,unknown,70,75,6.0,20,30,50,40,23423.75,2023-06-01 00:00:00,70.0 kiloliters
central urban,Modern Trade,Sentry Pepso,N/A,Tropicola,80000,8099,4,75,80,6.0,20,30,45,35,26996.67,NULL,80000 liters
south urban,Modern Trade,Small Co F,YOGURT DRINKS,Tea Tonic,34506,8421,-7,32,47,12.0,4,5,23,7,,October 2021,34.506 kiloliters
south rural,Traditional Trade,Cora Cale,,Nectar Bliss,70000,8821,3,70,75,6.0,20,30,50,40,25727.92,2020-06-01 00:00:00,70.0 kiloliters
nan,Traditional Trade,Sentry Pepso,Energy Drinks,Boostade,50000,9919,6,65,70,7.0,15,25,40,30,20664.58,2022-04-01 00:00:00,50000 liters
NORTH URBAN,Traditional Trade,Small Co E,ENERGY DRINKS,Soda Spark,9841,9386,1,27,43,60.66779525783004,3,5,15,19,N/A,2020-01-01 00:00:00,9.841 kiloliters
south urban,Modern Trade,Sentry Pepso,CARBONATED SOFT DRINKS,Pepso Classic,150000,8864,8,95,98,3.0,35,45,60,50,55400.0,2020-03-01 00:00:00,150.0 kiloliters
north urban,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Lite Soda,120000,8115,5,90,95,4.0,30,40,55,45,40575.0,October 2020,120.0 kiloliters
north urban,Modern Trade,URZ,Snack Drinks,CeeTwo,120000,N/A,unknown,90,95,4.0,30,40,55,45,45050.0,August 2023,120.0 kiloliters
NORTH RURAL,Traditional Trade,Cora Cale,Water,Flavored Aqua,100000,8815,7,80,85,5.0,25,35,50,40,36729.17,2020-03-01 00:00:00,100000 liters
,Traditional Trade,Small Co C,Nan,Energy Snap,49263,NULL,-4,39,40,10.0,5,9,25,7,3451.41,October 2020,49263 liters
south urban,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Classic,150000,8864,8,95,98,3.0,35,45,60,50,55400.0,2022-02-01 00:00:00,150000 liters
NORTH RURAL,Traditional Trade,Sentry Pepso,Water,Aquavena,100000,8570,unknown,80,85,5.0,25,35,50,40,35708.33,2020-05-01 00:00:00,100000 liters
SOUTH RURAL,Traditional Trade,URZ,WATER,Great Elite,70000,9991,unknown,70,75,6.0,20,30,50,40,29140.42,June 2021,70.0 kiloliters
SOUTH URBAN,Modern Trade,Cora Cale,Carbonated Soft Drinks,Classic Soda,150000,9339,unknown,95,98,3.0,35,45,60,50,58368.75,2021-02-01 00:00:00,150000 liters
NORTH URBAN,Modern Trade,Sentry Pepso,CARBONATED SOFT DRINKS,Pepso Zero,120000,8602,5,90,95,4.0,30,40,55,45,43010.0,August 2024,120.0 kiloliters
central rural,Traditional Trade,Sentry Pepso,Energy Drinks,Boostade,50000,9919,unknown,65,70,7.0,15,25,40,30,20664.58,February 2023,50.0 kiloliters
NORTH URBAN,Modern Trade,Tran Hip Pat,,Dr Tien,120000,8758,5,90,95,4.0,30,40,55,45,43790.0,2020-02-01 00:00:00,120000 liters
south rural,Traditional Trade,Vinalac,MILK TEA,Vinalac Prime Tea,70000,9655,unknown,70,75,6.0,20,30,50,40,28160.42,2024-11-01 00:00:00,70.0 kiloliters
SOUTH RURAL,Traditional Trade,Cora Cale,JUICES,Nectar Bliss,70000,8821,3,70,75,6.0,20,30,50,40,,April 2020,70.0 kiloliters
NORTH RURAL,Traditional Trade,URZ,JUICES,URZ Fresh,100000,8713,unknown,80,85,5.0,25,35,50,40,36304.17,2020-08-01 00:00:00,100000 liters
,Modern Trade,Sentry Pepso,,Tropicola,80000,8099,unknown,75,80,6.0,20,30,45,35,26996.67,2024-12-01 00:00:00,80000 liters
north urban,Modern Trade,Vinalac,MILK,Vinalac Pure,NULL,8838,unknown,90,95,4.0,30,40,55,45,44190.0,2023-03-01 00:00:00,NULL
north urban,Modern Trade,Vinalac,MILK,Vinalac Pure,120000,8838,,90,95,4.0,30,40,55,45,44190.0,2021-04-01 00:00:00,120000 liters
SOUTH RURAL,Traditional Trade,Sentry Pepso,JUICES,Tropicola Bliss,70000,9165,unknown,70,75,6.0,20,30,50,40,26731.25,nan,70000 liters
SOUTH RURAL,Traditional Trade,Tran Hip Pat,JUICES,THP Prime,70000,8031,3,70,75,6.0,20,30,50,40,23423.75,2023-01-01 00:00:00,70.0 kiloliters
N/A,Traditional Trade,Cora Cale,Juices,Nectar Bliss,70000,8821,3,70,75,6.0,20,30,50,40,25727.92,2023-08-01 00:00:00,70.0 kiloliters
north rural,Traditional Trade,Cora Cale,WATER,Flavored Aqua,100000,8815,7,80,85,5.0,25,35,50,40,36729.17,2022-10-01 00:00:00,100000 liters
central rural,Traditional Trade,Sentry Pepso,Energy Drinks,Boostade,50000,9919,6,65,70,7.0,15,25,40,30,20664.58,2023-03-01 00:00:00,50000 liters
central urban,Modern Trade,Cora Cale,N/A,Pure Juice,80000,8048,4,75,80,6.0,20,30,45,35,N/A,2020-03-01 00:00:00,80000 liters
north urban,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Zero,N/A,8602,5,90,95,4.0,30,40,55,45,43010.0,nan,N/A
central urban,Modern Trade,Vinalac,Milk Tea,Vinalac Tea,80000,nan,unknown,75,80,6.0,20,30,45,35,28256.67,November 2024,80000 liters
central rural,Traditional Trade,Cora Cale,ENERGY DRINKS,Energy Boost,50000,nan,6,65,70,7.0,15,25,40,30,20239.58,2023-02-01 00:00:00,50.0 kiloliters
south urban,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Classic,N/A,8864,8,95,98,72.37302488701816,35,45,60,50,55400.0,2023-01-01 00:00:00,N/A liters
south urban,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Classic,150000,8864,unknown,95,98,3.0,35,45,60,50,,2023-05-01 00:00:00,150000 liters
,Traditional Trade,Small Co F,SNACK DRINKS,Tea Tonic,43435,8472,unknown,35,15,19.0,3,1,14,20,3748.13,June 2020,43435 liters
NORTH URBAN,Modern Trade,URZ,SNACK DRINKS,CeeTwo,120000,9010,unknown,90,95,4.0,30,40,55,45,45050.0,2021-09-01 00:00:00,120.0 kiloliters
south rural,Traditional Trade,URZ,WATER,Great Elite,70000,9991,unknown,70,75,6.0,20,30,50,40,29140.42,2024-03-01 00:00:00,70.0 kiloliters
NULL,Modern Trade,Small Co B,Energy Drinks,Pure Aqua,20656,8616,-8,43,17,18.0,1,6,16,18,3299.02,2021-11-01 00:00:00,20656 liters
CENTRAL URBAN,Modern Trade,Cora Cale,Juices,Pure Juice,80000,8048,4,75,80,6.0,20,30,45,35,26826.67,2024-04-01 00:00:00,80000 liters
NORTH URBAN,Modern Trade,Vinalac,MILK,Vinalac Pure,120000,8838,5,90,95,4.0,30,40,55,45,44190.0,2020-12-01 00:00:00,120000 liters
north urban,Modern Trade,Vinalac,Milk,Vinalac Pure,120000,8838,unknown,90,95,4.0,30,40,55,45,44190.0,2023-01-01 00:00:00,120000 liters
NORTH URBAN,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Lite Soda,120000,8115,unknown,90,95,4.0,30,40,55,45,40575.0,2020-02-01 00:00:00,120.0 kiloliters
NORTH URBAN,Modern Trade,Tran Hip Pat,HERBAL TEA,Dr Tien,120000,8758,5,90,95,4.0,30,40,55,45,43790.0,February 2024,120000 liters
nan,Traditional Trade,Vinalac,NAN,Vinalac Prime Tea,70000,9655,3,70,75,6.0,20,30,50,40,28160.42,2021-12-01 00:00:00,70000 liters
south urban,Modern Trade,Cora Cale,Carbonated Soft Drinks,Classic Soda,150000,9339,8,95,98,3.0,35,45,60,50,58368.75,2020-06-01 00:00:00,150.0 kiloliters
south rural,Traditional Trade,Vinalac,N/A,Vinalac Prime Tea,70000,9655,,70,75,6.0,20,30,50,40,28160.42,2023-12-01 00:00:00,70.0 kiloliters
north urban,Modern Trade,URZ,SNACK DRINKS,CeeTwo,120000,9010,NULL,90,95,4.0,30,40,55,45,45050.0,2020-05-01 00:00:00,120.0 kiloliters
CENTRAL URBAN,Modern Trade,Tran Hip Pat,JUICES,THP Fresh,80000,8438,,75,80,6.0,20,30,45,35,28126.67,April 2020,80.0 kiloliters
north rural,Traditional Trade,Vinalac,Yogurt Drinks,Probee,100000,NULL,unknown,80,85,5.0,25,35,50,40,N/A,June 2024,100.0 kiloliters
NORTH URBAN,Modern Trade,Vinalac,MILK,Vinalac Pure,120000,8838,unknown,90,95,4.0,30,40,55,45,,2020-02-01 00:00:00,120000 liters
n/a,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Classic Soda,150000,9339,unknown,95,98,3.0,35,45,60,50,58368.75,nan,150.0 kiloliters
south rural,Traditional Trade,Sentry Pepso,JUICES,Tropicola Bliss,NULL,9165,3,70,75,6.0,20,30,50,40,26731.25,2021-07-01 00:00:00,NULL liters
CENTRAL URBAN,Modern Trade,Cora Cale,JUICES,Pure Juice,80000,8048,4,75,80,6.0,20,30,45,35,26826.67,2021-12-01 00:00:00,80.0 kiloliters
north urban,Modern Trade,Tran Hip Pat,HERBAL TEA,Dr Tien,nan,8758,5,90,95,4.0,30,40,55,45,43790.0,July 2021,nan liters
CENTRAL RURAL,Traditional Trade,Sentry Pepso,ENERGY DRINKS,Boostade,50000,9919,6,65,70,7.0,15,25,40,30,20664.58,2024-09-01 00:00:00,50.0 kiloliters
NORTH URBAN,Modern Trade,Vinalac,,Vinalac Pure,N/A,8838,5,90,95,4.0,30,40,55,45,44190.0,2020-02-01 00:00:00,N/A liters
CENTRAL URBAN,Modern Trade,Tran Hip Pat,Juices,THP Fresh,80000,8438,unknown,75,80,6.0,20,30,45,35,28126.67,2020-05-01 00:00:00,80000 liters
NORTH RURAL,Traditional Trade,Tran Hip Pat,ENERGY DRINKS,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,39666.67,2023-02-01 00:00:00,100000 liters
south urban,Modern Trade,Tran Hip Pat,ENERGY DRINKS,Numba One Power,150000,NULL,unknown,95,98,3.0,35,45,60,50,53150.0,May 2023,150000 liters
central urban,Modern Trade,Sentry Pepso,Juices,Tropicola,80000,8099,4,75,80,6.0,20,30,45,35,26996.67,December 2022,80000 liters
south rural,Traditional Trade,URZ,WATER,Great Elite,70000,9991,3,70,75,6.0,20,30,50,40,29140.42,April 2020,70000 liters
south rural,Traditional Trade,Tran Hip Pat,JUICES,THP Prime,70000,8031,3,70,75,6.0,20,30,50,40,23423.75,2024-12-01 00:00:00,70.0 kiloliters
NULL,Traditional Trade,Cora Cale,JUICES,Nectar Bliss,70000,8821,3,70,75,6.0,20,30,50,40,25727.92,November 2024,70000 liters
CENTRAL URBAN,Modern Trade,Sentry Pepso,,Tropicola,80000,8099,4,75,80,6.0,20,30,45,35,26996.67,2021-03-01 00:00:00,80000 liters
central rural,Traditional Trade,Sentry Pepso,ENERGY DRINKS,Boostade,50000,9919,6,65,70,7.0,15,25,40,30,nan,,50000 liters
north rural,Traditional Trade,Sentry Pepso,WATER,Aquavena,100000,8570,unknown,80,85,5.0,25,35,50,40,35708.33,,100.0 kiloliters
,Traditional Trade,Tran Hip Pat,Herbal Tea,Dr Tien Light,50000,8951,6,65,70,7.0,15,25,40,30,,2020-06-01 00:00:00,50000 liters
n/a,Modern Trade,URZ,WATER,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,33073.33,2024-01-01 00:00:00,80.0 kiloliters
south rural,Traditional Trade,Vinalac,Milk Tea,Vinalac Prime Tea,70000,9655,3,70,75,6.0,20,30,50,40,28160.42,2020-05-01 00:00:00,70000 liters
CENTRAL RURAL,Traditional Trade,Vinalac,Milk,Vinalac Sweet,50000,9362,6,65,70,7.0,15,25,40,30,19504.17,2021-07-01 00:00:00,50000 liters
south urban,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Classic,150000,8864,unknown,95,98,3.0,35,45,60,50,55400.0,2024-11-01 00:00:00,150.0 kiloliters
north rural,Traditional Trade,Sentry Pepso,Water,Aquavena,100000,,7,80,85,5.0,25,35,50,40,35708.33,June 2020,100.0 kiloliters
NORTH RURAL,Traditional Trade,Cora Cale,Water,Flavored Aqua,100000,8815,7,80,85,5.0,25,35,50,40,36729.17,N/A,100000 liters
SOUTH URBAN,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Classic,150000,8864,8,95,98,3.0,35,45,60,50,55400.0,2021-08-01 00:00:00,150000 liters
,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Classic,150000,8864,8,95,98,3.0,35,45,60,50,55400.0,June 2021,150.0 kiloliters
SOUTH RURAL,Traditional Trade,Cora Cale,JUICES,Nectar Bliss,70000,8821,3,70,75,6.0,20,30,50,40,25727.92,2023-12-01 00:00:00,70.0 kiloliters
central rural,Traditional Trade,Tran Hip Pat,HERBAL TEA,Dr Tien Light,50000,8951,6,65,70,7.0,15,25,40,30,nan,2024-04-01 00:00:00,50.0 kiloliters
CENTRAL RURAL,Traditional Trade,Cora Cale,ENERGY DRINKS,Energy Boost,50000,9715,6,65,70,7.0,15,25,40,30,N/A,December 2021,50.0 kiloliters
CENTRAL RURAL,Traditional Trade,Sentry Pepso,ENERGY DRINKS,Boostade,50000,,unknown,65,70,7.0,15,25,40,30,20664.58,,50000 liters
NORTH RURAL,Traditional Trade,Tran Hip Pat,Energy Drinks,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,39666.67,December 2021,100.0 kiloliters
NORTH RURAL,Traditional Trade,URZ,Juices,URZ Fresh,100000,8713,unknown,80,85,5.0,25,35,50,40,36304.17,2024-12-01 00:00:00,100000 liters
CENTRAL RURAL,Traditional Trade,Sentry Pepso,ENERGY DRINKS,Boostade,50000,9919,nan,65,70,7.0,15,25,40,30,N/A,April 2021,50000 liters
central rural,Traditional Trade,Cora Cale,ENERGY DRINKS,Energy Boost,50000,9715,6,65,70,7.0,15,25,40,30,20239.58,April 2021,50000 liters
central urban,Modern Trade,URZ,WATER,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,33073.33,2021-02-01 00:00:00,80000 liters
north rural,Traditional Trade,Vinalac,Yogurt Drinks,Probee,100000,9536,unknown,80,85,5.0,25,35,50,40,39733.33,NULL,100.0 kiloliters
SOUTH URBAN,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Classic,150000,8864,8,95,98,3.0,35,45,60,50,55400.0,2020-01-01 00:00:00,150000 liters
south urban,Modern Trade,Tran Hip Pat,Energy Drinks,Numba One Power,150000,8504,8,95,98,3.0,35,45,60,50,53150.0,November 2023,150.0 kiloliters
CENTRAL URBAN,Modern Trade,Sentry Pepso,JUICES,Tropicola,80000,8099,,75,80,6.0,20,30,45,35,26996.67,2023-08-01 00:00:00,80.0 kiloliters
SOUTH RURAL,Traditional Trade,URZ,WATER,Great Elite,70000,9991,3,70,75,79.2956146730213,20,30,50,40,29140.42,November 2022,70.0 kiloliters
CENTRAL URBAN,Modern Trade,Sentry Pepso,JUICES,Tropicola,80000,8099,4,75,80,6.0,20,30,45,35,26996.67,2024-08-01 00:00:00,80000 liters
central rural,Traditional Trade,URZ,Snack Drinks,CeeTwo Light,50000,9048,N/A,65,70,7.0,15,25,40,30,18850.0,2021-12-01 00:00:00,50.0 kiloliters
south rural,Traditional Trade,Tran Hip Pat,Juices,THP Prime,70000,8031,3,70,75,6.0,20,30,50,40,23423.75,2021-04-01 00:00:00,70000 liters
south rural,Traditional Trade,Sentry Pepso,Juices,Tropicola Bliss,70000,9165,unknown,70,75,6.0,20,30,50,40,nan,2021-11-01 00:00:00,70000 liters
,Modern Trade,Cora Cale,Carbonated Soft Drinks,Classic Soda,150000,9339,8,95,98,3.0,35,45,60,50,58368.75,2022-03-01 00:00:00,150.0 kiloliters
north rural,Traditional Trade,Small Co C,Nan,Energy Snap,31970,8734,unknown,34,49,11.0,2,8,21,10,3631.72,2020-11-01 00:00:00,31.97 kiloliters
CENTRAL RURAL,Traditional Trade,Tran Hip Pat,HERBAL TEA,Dr Tien Light,50000,8951,N/A,65,70,7.0,15,25,40,30,18647.92,June 2020,50000 liters
central urban,Modern Trade,Cora Cale,JUICES,Pure Juice,80000,8048,4,75,80,6.0,20,30,45,35,26826.67,December 2024,80000 liters
central rural,Traditional Trade,Cora Cale,NULL,Energy Boost,50000,9715,6,65,70,7.0,15,25,40,30,20239.58,2021-11-01 00:00:00,50000 liters
north rural,Traditional Trade,Vinalac,YOGURT DRINKS,Probee,100000,9536,unknown,80,85,5.0,25,35,50,40,39733.33,2020-04-01 00:00:00,100000 liters
CENTRAL URBAN,Modern Trade,Tran Hip Pat,JUICES,THP Fresh,80000,8438,,75,80,6.0,20,30,45,35,28126.67,2024-02-01 00:00:00,80.0 kiloliters
NORTH URBAN,Modern Trade,Cora Cale,Carbonated Soft Drinks,Lite Soda,120000,8115,5,90,95,84.88902512906702,30,40,55,45,40575.0,August 2024,120000 liters
CENTRAL URBAN,Traditional Trade,Small Co D,Milk Tea,Juice Bliss,34791,N/A,2,29,14,19.0,3,3,10,20,1204.56,2020-02-01 00:00:00,34791 liters
SOUTH URBAN,Modern Trade,URZ,JUICES,URZ Prime,150000,9958,unknown,95,98,3.0,35,45,60,50,62237.5,2021-04-01 00:00:00,150000 liters
NORTH RURAL,Traditional Trade,Tran Hip Pat,ENERGY DRINKS,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,39666.67,NULL,100.0 kiloliters
SOUTH RURAL,Traditional Trade,Tran Hip Pat,Null,THP Prime,70000,8031,3,70,75,6.0,20,30,50,40,23423.75,October 2023,70.0 kiloliters
NORTH URBAN,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Lite Soda,120000,8115,unknown,90,95,4.0,30,40,55,45,40575.0,2020-08-01 00:00:00,120.0 kiloliters
south urban,Modern Trade,Sentry Pepso,CARBONATED SOFT DRINKS,Pepso Classic,150000,8864,unknown,95,98,3.0,35,45,60,50,55400.0,September 2022,150000 liters
NORTH URBAN,Modern Trade,Vinalac,Milk,Vinalac Pure,120000,,unknown,90,95,4.0,30,40,55,45,44190.0,2023-09-01 00:00:00,120.0 kiloliters
north rural,Traditional Trade,Vinalac,Yogurt Drinks,Probee,100000,9536,7,80,85,5.0,25,35,50,40,39733.33,May 2023,100000 liters
north rural,Traditional Trade,Cora Cale,Water,Flavored Aqua,100000,8815,7,80,85,5.0,25,35,50,40,NULL,2021-03-01 00:00:00,100000 liters
central urban,Modern Trade,Tran Hip Pat,Juices,THP Fresh,80000,8438,unknown,75,80,6.0,20,30,45,35,28126.67,2020-10-01 00:00:00,80.0 kiloliters
CENTRAL RURAL,Traditional Trade,Vinalac,MILK,Vinalac Sweet,50000,9362,unknown,65,70,7.0,15,25,40,30,19504.17,2020-05-01 00:00:00,50000 liters
SOUTH RURAL,Traditional Trade,Small Co B,Yogurt Drinks,Pure Aqua,35478,9719,-2,16,49,17.0,1,3,20,11,3048.35,January 2020,35.478 kiloliters
CENTRAL URBAN,Modern Trade,URZ,WATER,Great Aqua,80000,9922,unknown,75,80,6.0,20,30,45,35,33073.33,2022-02-01 00:00:00,80000 liters
CENTRAL URBAN,Modern Trade,URZ,WATER,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,33073.33,N/A,80.0 kiloliters
north urban,Modern Trade,Tran Hip Pat,Herbal Tea,Dr Tien,120000,8758,5,90,95,4.0,30,40,55,45,43790.0,2024-10-01 00:00:00,120000 liters
central urban,Modern Trade,URZ,WATER,Great Aqua,,9922,unknown,75,80,6.0,20,30,45,35,33073.33,2022-09-01 00:00:00, liters
CENTRAL URBAN,Modern Trade,Tran Hip Pat,JUICES,THP Fresh,80000,8438,4,75,80,6.0,20,30,45,35,28126.67,September 2024,80000 liters
south rural,Traditional Trade,URZ,Water,Great Elite,70000,9991,3,70,75,6.0,20,30,50,40,29140.42,2021-08-01 00:00:00,70000 liters
NAN,Traditional Trade,Tran Hip Pat,Herbal Tea,Dr Tien Light,50000,nan,nan,65,70,7.0,15,25,40,30,18647.92,2024-08-01 00:00:00,50.0 kiloliters
north urban,Modern Trade,Small Co E,Carbonated Soft Drinks,Soda Spark,37855,9379,unknown,37,48,20.0,2,10,21,19,N/A,2021-11-01 00:00:00,37.855 kiloliters
NORTH URBAN,Modern Trade,Tran Hip Pat,Herbal Tea,Dr Tien,120000,8758,5,90,95,4.0,30,40,55,45,43790.0,2022-04-01 00:00:00,120000 liters
SOUTH URBAN,Modern Trade,Vinalac,YOGURT DRINKS,Probee Light,150000,9729,8,95,98,3.0,35,45,60,50,N/A,2020-07-01 00:00:00,150.0 kiloliters
central rural,Traditional Trade,Tran Hip Pat,HERBAL TEA,Dr Tien Light,50000,8951,6,65,70,7.0,15,25,40,30,18647.92,2020-12-01 00:00:00,50000 liters
south rural,Traditional Trade,Cora Cale,Juices,Nectar Bliss,70000,8821,unknown,70,75,6.0,20,30,50,40,25727.92,2020-10-01 00:00:00,70.0 kiloliters
CENTRAL RURAL,Traditional Trade,Small Co C,JUICES,Energy Snap,29671,9556,unknown,36,14,15.0,1,5,28,17,3786.24,September 2020,29671 liters
south urban,Modern Trade,Tran Hip Pat,Energy Drinks,Numba One Power,150000,8504,unknown,95,98,3.0,35,45,60,50,53150.0,2024-03-01 00:00:00,150.0 kiloliters
south rural,Traditional Trade,Sentry Pepso,JUICES,Tropicola Bliss,70000,9165,3,70,75,6.0,20,30,50,40,26731.25,2023-06-01 00:00:00,70000 liters
N/A,Traditional Trade,Cora Cale,JUICES,Nectar Bliss,,8821,3,70,75,6.0,20,30,50,40,25727.92,nan, liters
central urban,Modern Trade,Small Co E,Energy Drinks,Soda Spark,29825,9222,-9,29,24,14.0,4,2,14,6,,2023-06-01 00:00:00,29.825 kiloliters
,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Classic Soda,150000,9339,8,95,98,3.0,35,45,60,50,58368.75,2021-12-01 00:00:00,150000 liters
south rural,Traditional Trade,Cora Cale,JUICES,Nectar Bliss,70000,8821,3,70,75,6.0,20,30,50,40,25727.92,,70.0 kiloliters
SOUTH RURAL,Traditional Trade,Vinalac,MILK TEA,Vinalac Prime Tea,70000,9655,3,70,75,6.0,20,30,50,40,28160.42,,70.0 kiloliters
central rural,Traditional Trade,Cora Cale,ENERGY DRINKS,Energy Boost,50000,9715,6,65,70,7.0,15,25,40,30,20239.58,2023-04-01 00:00:00,50.0 kiloliters
SOUTH URBAN,Modern Trade,Cora Cale,Nan,Classic Soda,150000,9339,8,95,98,3.0,35,45,60,50,58368.75,2021-03-01 00:00:00,150000 liters
south urban,Modern Trade,Tran Hip Pat,Energy Drinks,Numba One Power,150000,8504,8,95,98,3.0,35,45,60,50,53150.0,May 2020,150.0 kiloliters
SOUTH RURAL,Traditional Trade,URZ,Water,Great Elite,NULL,9991,unknown,70,75,6.0,20,30,50,40,29140.42,2022-08-01 00:00:00,NULL liters
south urban,Modern Trade,Vinalac,Yogurt Drinks,Probee Light,150000,,8,95,98,66.70513345034406,35,45,60,50,60806.25,2021-01-01 00:00:00,150.0 kiloliters
north rural,Traditional Trade,Tran Hip Pat,NAN,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,39666.67,2024-08-01 00:00:00,100000 liters
CENTRAL RURAL,Traditional Trade,Vinalac,Milk,Vinalac Sweet,50000,9362,6,65,70,7.0,15,25,40,30,19504.17,2024-09-01 00:00:00,50.0 kiloliters
north urban,Modern Trade,Sentry Pepso,CARBONATED SOFT DRINKS,Pepso Zero,nan,8602,unknown,90,95,4.0,30,40,55,45,43010.0,October 2020,nan liters
,Modern Trade,Cora Cale,JUICES,Pure Juice,N/A,8048,unknown,75,80,6.0,20,30,45,35,26826.67,2020-01-01 00:00:00,N/A
